scene_id,date,cog_url,avg_cloud_pct,total_tiles,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y
2025-06-09t101559,2025-06-09,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-09t101559/swisseo_s2-sr_v200_mosaic_2025-06-09t101559_cloudmask_10m.tif,79.37,1773,2624220.0,1059340.0,2813220.0,1302340.0
2025-06-07t102621,2025-06-07,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-07t102621/swisseo_s2-sr_v200_mosaic_2025-06-07t102621_cloudmask_10m.tif,96.02,40281,2479610.0,1058190.0,2761610.0,1303190.0
2025-06-06t101701,2025-06-06,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-06t101701/swisseo_s2-sr_v200_mosaic_2025-06-06t101701_cloudmask_10m.tif,92.56,32514,2596220.0,1058340.0,2839220.0,1303340.0
2025-06-06t100559,2025-06-06,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-06t100559/swisseo_s2-sr_v200_mosaic_2025-06-06t100559_cloudmask_10m.tif,92.49,1069,2810210.0,1160490.0,2839210.0,1215490.0
2025-06-05t103619,2025-06-05,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-05t103619/swisseo_s2-sr_v200_mosaic_2025-06-05t103619_cloudmask_10m.tif,99.25,4072,2480220.0,1104390.0,2569220.0,1267390.0
2025-06-04t102041,2025-06-04,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-04t102041/swisseo_s2-sr_v200_mosaic_2025-06-04t102041_cloudmask_10m.tif,96.42,33734,2596220.0,1058340.0,2839220.0,1303340.0
2025-06-03t101041,2025-06-03,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-03t101041/swisseo_s2-sr_v200_mosaic_2025-06-03t101041_cloudmask_10m.tif,84.84,1671,2799210.0,1116490.0,2839210.0,1215490.0
2025-06-02t104041,2025-06-02,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-02t104041/swisseo_s2-sr_v200_mosaic_2025-06-02t104041_cloudmask_10m.tif,96.32,4052,2480220.0,1104390.0,2569220.0,1267390.0
2025-06-02t102559,2025-06-02,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-02t102559/swisseo_s2-sr_v200_mosaic_2025-06-02t102559_cloudmask_10m.tif,97.28,40504,2479610.0,1058190.0,2761610.0,1303190.0
2025-06-01t101041,2025-06-01,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-01t101041/swisseo_s2-sr_v200_mosaic_2025-06-01t101041_cloudmask_10m.tif,88.73,1669,2799210.0,1116490.0,2839210.0,1215490.0
